nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
"Samsung GALAXY S7 5.1"" 32gb 4gb Ram 4g L...";$ 890.900;$ 650.000;null;-27%;5
samsung S8 G950F 4+64G Plata;$ 2.262.611;$ 1.546.560;null;-31%;10
Samsung Galaxy S7 G9300 5.1 Pulgadas 4 G...;null;$ 1.756.252;null;null;5
"Samsung GALAXY S6 Edge 5.1"" 32gb 3gb Ram...";$ 892.000;$ 650.900;null;-27%;6
Celular Samsung A01 Rojo;$ 550.000;$ 469.900;null;-14%;2
Apple iPhone 7P(128GB)  Oro;$ 2.601.592;$ 2.218.595;null;-14%;13
Celular Smartphone Neffos C5 Negro;null;$ 389.900;null;null;4
samsung S9 G960FD 4+64G Negro;$ 2.985.956;$ 1.937.778;null;-35%;?
Iphone 6 128GB - Gris;$ 1.369.289;$ 1.053.299;null;-23%;8
CELULAR KRONO PLAY K7 GRIS / VERDE;$ 69.900;$ 44.900;null;-35%;4
Celular Krono Net Titan - 32GB Plateado;$ 295.900;$ 244.900;null;-17%;
Samsung Galaxy S10 Essential / Negro Pri...;null;$ 2.699.900;null;null;5
Apple iPhone 7(128GB)  Rosa dorada;$ 1.923.629;$ 1.458.388;null;-24%;?
Iphone 5C 32GB - Rojo;$ 836.241;$ 643.299;null;-23%;8
iPhone 8 Negro 64Gb;$ 2.200.000;$ 2.039.900;null;-7%;2
Smartphone Umidigi X 4G 128GB-Flame Blac...;$ 1.037.900;$ 829.900;null;-20%;?
Celular Samsung Galaxy A10s 32GB Rojo;$ 549.900;$ 505.200;null;-8%;2
"Oukitel K6000 Plus 5,5 ""FHD Octa Core An...";null;$ 678.900;null;null;6
Iphone 5S 64GB - Dorado;$ 1.016.755;$ 782.199;null;-23%;8
Versión Global Xiaomi 9T Pro 6GB+128GB 6...;null;$ 2.150.200;null;null;4
Iphone 11 Pro 64GB Space/Grey -Grisb Unl...;$ 5.999.000;$ 4.999.000;null;-16%;13
Auriculares Audifonos Inalambricos i9S P...;$ 95.000;$ 69.990;null;-26%;12
Caterpillar Cat S61 - Trabajo Pesado Dob...;$ 4.799.900;$ 3.990.000;null;-16%;?
IPhone 11 128gb Rojo Unlocked;$ 4.959.000;$ 3.670.000;null;-25%;13
Celular Xiaomi Mi Note 10 Lite 6GB 64GB...;null;$ 1.559.851;null;null;?
google pixel-128G  Negro;$ 1.096.860;$ 877.488;null;-20%;12
Porta Documentos Organizador Viaje Porta...;$ 29.700;$ 21.990;null;-25%;12
Apple iPhone 7P(128GB)  Rojo;$ 2.601.592;$ 2.218.595;null;-14%;?
google pixel-3XL-64G Blanco;$ 2.847.338;$ 2.277.870;null;-20%;12
IPhone 7 Dorado 32GB + Audífonos Inalámb...;$ 1.800.000;$ 1.609.900;null;-10%;?
Reloj Inteligente SmartWatch Tipo Gear 2...;$ 119.900;$ 54.900;null;-54%;
Apple iPhone 7(32GB)  Oscuro;$ 1.766.179;$ 1.228.695;null;-30%;?
Celular Motorola One Action 128 Gb 4 Gb...;null;$ 1.189.900;null;null;6
google pixel-2-128G  Blanco;$ 1.661.829;$ 1.329.463;null;-20%;12
